Temperature (K)	Pressure (MPa)	"Density (l, mol/m3)"	"Volume (l, m3/mol)"	"Internal Energy (l, kJ/mol)"	"Enthalpy (l, kJ/mol)"	"Entropy (l, J/mol*K)"	"Cv (l, J/mol*K)"	"Cp (l, J/mol*K)"	"Density (v, mol/m3)"	"Volume (v, m3/mol)"	"Internal Energy (v, kJ/mol)"	"Enthalpy (v, kJ/mol)"	"Entropy (v, J/mol*K)"	"Cv (v, J/mol*K)"	"Cp (v, J/mol*K)"
274	0.000650016	55499.77135	1.80E-05	0.063837584	0.063849296	0.23334178	75.94462571	75.97192141	0.285498856	3.502641009	42.80564645	45.08241769	164.5346863	25.56508582	33.96212705
275	0.000698451	55502.22213	1.80E-05	0.139780887	0.139793471	0.510002633	75.90295117	75.91537403	0.305665682	3.271548158	42.83043797	45.1154546	164.0578613	25.58010486	33.98017836
276	0.000750056	55503.7235	1.80E-05	0.215669717	0.21568323	0.785461538	75.85945661	75.86292772	0.327069749	3.057451819	42.85522003	45.14847916	163.5854468	25.59523719	33.99840888
277	0.000805006	55504.3062	1.80E-05	0.291508018	0.291522521	1.05974146	75.81422045	75.81427707	0.349774668	2.85898349	42.87999237	45.18149105	163.1173896	25.61047642	34.01681292
278	0.000863487	55503.99917	1.80E-05	0.367299445	0.367315002	1.332864064	75.76731559	75.76914529	0.373846617	2.674893804	42.90475472	45.21448989	162.653637	25.62581653	34.03538521
279	0.000925691	55502.8297	1.80E-05	0.443047389	0.443064067	1.604849838	75.71880981	75.72728082	0.399354417	2.504041419	42.92950683	45.24747531	162.1941374	25.64125184	34.05412093
280	0.00099182	55500.82353	1.80E-05	0.518754999	0.51877287	1.875718187	75.66876605	75.68845445	0.426369594	2.345383007	42.95424842	45.28044694	161.7388399	25.65677709	34.07301574
281	0.001062085	55498.00503	1.80E-05	0.594425208	0.594444346	2.145487531	75.61724279	75.65245672	0.454966457	2.197964232	42.97897919	45.31340439	161.2876941	25.67238744	34.09206578
282	0.001136705	55494.39723	1.80E-05	0.670060747	0.67008123	2.414175378	75.56429436	75.61909581	0.485222167	2.060911614	43.00369887	45.34634727	160.8406507	25.68807851	34.11126774
283	0.001215908	55490.02197	1.80E-05	0.745664161	0.745686073	2.6817984	75.50997128	75.5881956	0.517216809	1.933425177	43.02840715	45.37927515	160.3976608	25.70384636	34.13061887
