Temperature (K)	Pressure (MPa)	"Density (l, mol/m3)"	"Volume (l, m3/mol)"	"Internal Energy (l, kJ/mol)"	"Enthalpy (l, kJ/mol)"	"Entropy (l, J/mol*K)"	"Cv (l, J/mol*K)"	"Cp (l, J/mol*K)"	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Phase
274	1								55527.79151	1.80E-05	0.064093863	0.082102863	0.234260513	75.86137381	75.88505039	liquid
275	1								55530.04214	1.80E-05	0.139952329	0.157960599	0.510609642	75.82099947	75.83110401	liquid
276	1								55531.35194	1.80E-05	0.215758539	0.233766384	0.785767114	75.7787582	75.78109765	liquid
277	1								55531.75122	1.80E-05	0.291516294	0.30952401	1.05975526	75.73473174	75.73473877	liquid
278	1								55531.26851	1.80E-05	0.367229116	0.385236989	1.332595166	75.68899604	75.69176217	liquid
279	1								55529.93072	1.80E-05	0.442900275	0.460908581	1.604306783	75.64162165	75.6519268	liquid
280	1								55527.76328	1.80E-05	0.518532807	0.536541816	1.874909025	75.59267403	75.61501287	liquid
281	1								55524.79021	1.80E-05	0.59412954	0.612139513	2.144419854	75.54221397	75.58081954	liquid
282	1								55521.03425	1.80E-05	0.669693108	0.6877043	2.412856358	75.49029791	75.54916275	liquid
283	1								55516.51695	1.80E-05	0.74522597	0.763238628	2.680234818	75.4369783	75.51987348	liquid
284	1								55511.25875	1.80E-05	0.820730421	0.838744784	2.946570772	75.38230391	75.49279614	liquid
285	1								55505.27907	1.80E-05	0.896208605	0.914224909	3.211879068	75.32632013	75.46778725	liquid
286	1								55498.59634	1.80E-05	0.97166253	0.989681004	3.476173914	75.26906928	75.44471421	liquid
287	1								55491.22813	1.80E-05	1.047094076	1.065114942	3.739468925	75.21059086	75.42345429	liquid
288	1								55483.19114	1.80E-05	1.122505002	1.140528479	4.001777164	75.15092186	75.40389371	liquid
289	1								55474.50131	1.80E-05	1.197896961	1.215923261	4.263111175	75.09009692	75.38592686	liquid
290	1								55465.17383	1.80E-05	1.2732715	1.291300831	4.523483024	75.02814863	75.36945554	liquid
291	1								55455.22321	1.80E-05	1.348630073	1.36666264	4.782904323	74.96510767	75.35438842	liquid
292	1								55444.6633	1.80E-05	1.423974047	1.442010048	5.041386264	74.90100307	75.34064041	liquid
293	1								55433.50736	1.80E-05	1.499304703	1.517344334	5.298939642	74.83586233	75.32813219	liquid
294	1								55421.76807	1.80E-05	1.574623249	1.592666701	5.555574881	74.76971159	75.3167898	liquid
295	1								55409.45755	1.80E-05	1.649930818	1.667978279	5.811302058	74.70257579	75.30654421	liquid
296	1								55396.58746	1.81E-05	1.72522848	1.743280133	6.06613092	74.63447882	75.29733098	liquid
297	1								55383.16892	1.81E-05	1.800517238	1.818573265	6.320070905	74.56544361	75.28908992	liquid
298	1								55369.21265	1.81E-05	1.87579804	1.893858618	6.573131161	74.49549224	75.28176485	liquid
299	1								55354.7289	1.81E-05	1.951071779	1.969137082	6.825320563	74.42464606	75.27530326	liquid
300	1								55339.72754	1.81E-05	2.026339295	2.044409496	7.076647726	74.35292578	75.26965614	liquid
301	1								55324.21805	1.81E-05	2.101601384	2.119676651	7.327121022	74.28035152	75.26477772	liquid
302	1								55308.20954	1.81E-05	2.176858795	2.194939294	7.576748594	74.20694293	75.26062529	liquid
303	1								55291.71076	1.81E-05	2.252112237	2.27019813	7.825538366	74.13271919	75.25715899	liquid
304	1								55274.73017	1.81E-05	2.327362378	2.345453828	8.073498058	74.05769913	75.25434166	liquid
305	1								55257.27588	1.81E-05	2.402609854	2.420707018	8.320635196	73.98190124	75.25213866	liquid
306	1								55239.35571	1.81E-05	2.477855264	2.495958299	8.566957123	73.90534372	75.25051775	liquid
307	1								55220.97722	1.81E-05	2.553099178	2.571208238	8.812471007	73.82804452	75.24944894	liquid
308	1								55202.14768	1.81E-05	2.628342135	2.646457372	9.057183854	73.75002138	75.24890432	liquid
309	1								55182.8741	1.81E-05	2.703584648	2.721706212	9.301102514	73.67129185	75.24885803	liquid
310	1								55163.16326	1.81E-05	2.778827206	2.796955246	9.54423369	73.59187331	75.24928606	liquid
311	1								55143.02168	1.81E-05	2.854070274	2.872204935	9.786583945	73.51178301	75.25016619	liquid
312	1								55122.4557	1.81E-05	2.929314295	2.947455722	10.02815971	73.43103804	75.25147788	liquid
313	1								55101.4714	1.81E-05	3.004559693	3.022708029	10.2689673	73.3496554	75.25320217	liquid
314	1								55080.07469	1.82E-05	3.079806872	3.097962258	10.50901289	73.26765198	75.25532162	liquid
315	1								55058.27126	1.82E-05	3.155056223	3.173218798	10.74830256	73.18504457	75.25782017	liquid
316	1								55036.06663	1.82E-05	3.230308117	3.24847802	10.98684229	73.10184986	75.26068313	liquid
