Temperature (K)	Pressure (MPa)	"Density (l, mol/m3)"	"Volume (l, m3/mol)"	"Internal Energy (l, kJ/mol)"	"Enthalpy (l, kJ/mol)"	"Entropy (l, J/mol*K)"	"Cv (l, J/mol*K)"	"Cp (l, J/mol*K)"	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
274	2								55556	1.80E-05	0.064341	0.10034	0.23511	75.779	75.799	1409.7	-0.24043	1735.3	0.56372	liquid
275	2								55558	1.80E-05	0.14012	0.17611	0.51115	75.74	75.748	1414.6	-0.23948	1677.8	0.5656	liquid
276	2								55559	1.80E-05	0.21584	0.25184	0.78601	75.699	75.7	1419.3	-0.23855	1623.2	0.56749	liquid
277	2								55559	1.80E-05	0.29152	0.32752	1.0597	75.656	75.656	1424	-0.23764	1571.4	0.56937	liquid
278	2								55559	1.80E-05	0.36715	0.40315	1.3323	75.611	75.615	1428.5	-0.23674	1522.2	0.57126	liquid
279	2								55557	1.80E-05	0.44275	0.47875	1.6037	75.565	75.577	1433	-0.23587	1475.4	0.57315	liquid
280	2								55555	1.80E-05	0.51831	0.55431	1.874	75.517	75.542	1437.3	-0.235	1430.9	0.57504	liquid
281	2								55552	1.80E-05	0.59383	0.62983	2.1433	75.468	75.51	1441.6	-0.23416	1388.4	0.57692	liquid
282	2								55548	1.80E-05	0.66932	0.70533	2.4115	75.417	75.48	1445.7	-0.23332	1348	0.57881	liquid
283	2								55543	1.80E-05	0.74478	0.78079	2.6786	75.364	75.452	1449.8	-0.2325	1309.5	0.58069	liquid
284	2								55538	1.80E-05	0.82022	0.85623	2.9447	75.311	75.426	1453.7	-0.2317	1272.6	0.58256	liquid
285	2								55531	1.80E-05	0.89563	0.93165	3.2098	75.256	75.403	1457.5	-0.2309	1237.4	0.58443	liquid
286	2								55525	1.80E-05	0.97102	1.007	3.4739	75.199	75.381	1461.3	-0.23012	1203.8	0.58629	liquid
287	2								55517	1.80E-05	1.0464	1.0824	3.7369	75.142	75.361	1464.9	-0.22935	1171.6	0.58815	liquid
288	2								55509	1.80E-05	1.1217	1.1578	3.999	75.083	75.343	1468.5	-0.22859	1140.7	0.58999	liquid
289	2								55500	1.80E-05	1.1971	1.2331	4.2602	75.023	75.326	1472	-0.22784	1111.2	0.59183	liquid
290	2								55491	1.80E-05	1.2724	1.3084	4.5203	74.962	75.311	1475.4	-0.22711	1082.9	0.59366	liquid
291	2								55481	1.80E-05	1.3477	1.3837	4.7796	74.9	75.297	1478.7	-0.22638	1055.7	0.59547	liquid
292	2								55470	1.80E-05	1.423	1.459	5.0378	74.836	75.284	1481.9	-0.22566	1029.6	0.59727	liquid
293	2								55459	1.80E-05	1.4982	1.5343	5.2952	74.772	75.272	1485	-0.22495	1004.5	0.59906	liquid
294	2								55447	1.80E-05	1.5735	1.6096	5.5516	74.706	75.262	1488.1	-0.22425	980.37	0.60084	liquid
295	2								55435	1.80E-05	1.6487	1.6848	5.8072	74.64	75.252	1491	-0.22355	957.18	0.6026	liquid
296	2								55422	1.80E-05	1.724	1.7601	6.0618	74.573	75.244	1493.9	-0.22287	934.87	0.60435	liquid
297	2								55408	1.80E-05	1.7992	1.8353	6.3156	74.504	75.237	1496.7	-0.22219	913.38	0.60608	liquid
298	2								55394	1.81E-05	1.8744	1.9105	6.5685	74.435	75.23	1499.5	-0.22152	892.68	0.6078	liquid
299	2								55380	1.81E-05	1.9496	1.9858	6.8205	74.365	75.224	1502.1	-0.22085	872.73	0.6095	liquid
300	2								55365	1.81E-05	2.0249	2.061	7.0717	74.294	75.219	1504.7	-0.22019	853.49	0.61118	liquid
301	2								55349	1.81E-05	2.1001	2.1362	7.322	74.222	75.215	1507.2	-0.21954	834.93	0.61284	liquid
302	2								55333	1.81E-05	2.1753	2.2114	7.5714	74.149	75.211	1509.7	-0.2189	817.02	0.61449	liquid
303	2								55316	1.81E-05	2.2505	2.2866	7.8201	74.076	75.209	1512	-0.21826	799.71	0.61612	liquid
304	2								55299	1.81E-05	2.3257	2.3618	8.0679	74.001	75.206	1514.3	-0.21762	783	0.61772	liquid
305	2								55282	1.81E-05	2.4009	2.437	8.3148	73.926	75.205	1516.5	-0.217	766.84	0.61931	liquid
306	2								55264	1.81E-05	2.476	2.5122	8.561	73.85	75.204	1518.7	-0.21637	751.22	0.62088	liquid
307	2								55245	1.81E-05	2.5512	2.5874	8.8064	73.774	75.203	1520.8	-0.21576	736.11	0.62243	liquid
308	2								55227	1.81E-05	2.6264	2.6626	9.0509	73.696	75.203	1522.8	-0.21514	721.48	0.62396	liquid
309	2								55207	1.81E-05	2.7016	2.7378	9.2947	73.618	75.203	1524.8	-0.21453	707.32	0.62546	liquid
310	2								55188	1.81E-05	2.7768	2.813	9.5377	73.539	75.204	1526.7	-0.21393	693.61	0.62695	liquid
311	2								55167	1.81E-05	2.852	2.8883	9.7799	73.46	75.205	1528.5	-0.21333	680.33	0.62841	liquid
312	2								55147	1.81E-05	2.9272	2.9635	10.021	73.379	75.207	1530.3	-0.21273	667.45	0.62986	liquid
313	2								55126	1.81E-05	3.0024	3.0387	10.262	73.299	75.209	1532	-0.21214	654.97	0.63128	liquid
314	2								55104	1.81E-05	3.0776	3.1139	10.502	73.217	75.212	1533.6	-0.21155	642.86	0.63268	liquid
315	2								55083	1.82E-05	3.1528	3.1891	10.741	73.135	75.214	1535.2	-0.21097	631.12	0.63406	liquid
316	2								55060	1.82E-05	3.228	3.2643	10.979	73.052	75.218	1536.7	-0.21039	619.72	0.63541	liquid
317	2								55038	1.82E-05	3.3032	3.3395	11.217	72.969	75.221	1538.2	-0.20981	608.65	0.63675	liquid
318	2								55015	1.82E-05	3.3784	3.4147	11.454	72.885	75.225	1539.6	-0.20923	597.91	0.63806	liquid
319	2								54991	1.82E-05	3.4536	3.49	11.69	72.801	75.229	1541	-0.20866	587.47	0.63935	liquid
320	2								54968	1.82E-05	3.5288	3.5652	11.926	72.716	75.234	1542.3	-0.20809	577.32	0.64062	liquid
321	2								54943	1.82E-05	3.604	3.6404	12.16	72.631	75.238	1543.5	-0.20752	567.46	0.64187	liquid
322	2								54919	1.82E-05	3.6793	3.7157	12.394	72.545	75.243	1544.7	-0.20696	557.88	0.64309	liquid
323	2								54894	1.82E-05	3.7545	3.7909	12.628	72.458	75.249	1545.8	-0.20639	548.55	0.6443	liquid
324	2								54869	1.82E-05	3.8297	3.8662	12.86	72.372	75.254	1546.9	-0.20583	539.48	0.64548	liquid
325	2								54843	1.82E-05	3.905	3.9414	13.092	72.284	75.26	1547.9	-0.20527	530.66	0.64664	liquid
326	2								54817	1.82E-05	3.9802	4.0167	13.324	72.197	75.266	1548.9	-0.20472	522.07	0.64778	liquid
327	2								54791	1.83E-05	4.0555	4.092	13.554	72.109	75.273	1549.8	-0.20416	513.71	0.64889	liquid
328	2								54764	1.83E-05	4.1307	4.1672	13.784	72.02	75.279	1550.7	-0.20361	505.56	0.64999	liquid
329	2								54737	1.83E-05	4.206	4.2425	14.013	71.931	75.286	1551.6	-0.20306	497.63	0.65106	liquid
330	2								54710	1.83E-05	4.2813	4.3178	14.242	71.842	75.293	1552.3	-0.20251	489.91	0.65211	liquid
331	2								54682	1.83E-05	4.3565	4.3931	14.469	71.752	75.301	1553.1	-0.20196	482.38	0.65314	liquid
332	2								54654	1.83E-05	4.4318	4.4684	14.697	71.662	75.308	1553.8	-0.20141	475.03	0.65415	liquid
333	2								54626	1.83E-05	4.5071	4.5437	14.923	71.572	75.316	1554.4	-0.20086	467.88	0.65514	liquid
334	2								54597	1.83E-05	4.5824	4.6191	15.149	71.481	75.324	1555	-0.20031	460.9	0.65611	liquid
335	2								54568	1.83E-05	4.6577	4.6944	15.374	71.391	75.333	1555.5	-0.19977	454.09	0.65706	liquid
336	2								54539	1.83E-05	4.733	4.7697	15.599	71.299	75.342	1556	-0.19922	447.45	0.65799	liquid
337	2								54509	1.83E-05	4.8084	4.8451	15.823	71.208	75.35	1556.5	-0.19868	440.97	0.6589	liquid
338	2								54480	1.84E-05	4.8837	4.9204	16.046	71.116	75.36	1556.9	-0.19813	434.65	0.65979	liquid
339	2								54449	1.84E-05	4.9591	4.9958	16.269	71.024	75.369	1557.3	-0.19759	428.48	0.66066	liquid
340	2								54419	1.84E-05	5.0344	5.0712	16.491	70.932	75.379	1557.6	-0.19704	422.45	0.66151	liquid
341	2								54388	1.84E-05	5.1098	5.1465	16.712	70.84	75.389	1557.9	-0.1965	416.56	0.66234	liquid
342	2								54357	1.84E-05	5.1851	5.2219	16.933	70.747	75.399	1558.2	-0.19596	410.81	0.66315	liquid
343	2								54325	1.84E-05	5.2605	5.2973	17.153	70.655	75.409	1558.4	-0.19541	405.2	0.66394	liquid
344	2								54294	1.84E-05	5.3359	5.3728	17.372	70.562	75.42	1558.5	-0.19487	399.71	0.66472	liquid
345	2								54262	1.84E-05	5.4113	5.4482	17.591	70.469	75.431	1558.6	-0.19433	394.35	0.66547	liquid
346	2								54229	1.84E-05	5.4867	5.5236	17.81	70.375	75.442	1558.7	-0.19378	389.11	0.66621	liquid
347	2								54197	1.85E-05	5.5622	5.5991	18.027	70.282	75.454	1558.8	-0.19324	383.98	0.66693	liquid
348	2								54164	1.85E-05	5.6376	5.6745	18.245	70.189	75.466	1558.8	-0.19269	378.97	0.66763	liquid
349	2								54131	1.85E-05	5.713	5.75	18.461	70.095	75.478	1558.7	-0.19214	374.07	0.66832	liquid
350	2								54097	1.85E-05	5.7885	5.8255	18.677	70.002	75.49	1558.7	-0.1916	369.28	0.66899	liquid
351	2								54063	1.85E-05	5.864	5.901	18.893	69.908	75.503	1558.6	-0.19105	364.59	0.66964	liquid
352	2								54029	1.85E-05	5.9395	5.9765	19.107	69.814	75.516	1558.4	-0.1905	360	0.67027	liquid
353	2								53995	1.85E-05	6.015	6.052	19.322	69.72	75.529	1558.2	-0.18995	355.51	0.67089	liquid
354	2								53960	1.85E-05	6.0905	6.1275	19.535	69.626	75.543	1558	-0.1894	351.12	0.67149	liquid
355	2								53925	1.85E-05	6.166	6.2031	19.748	69.532	75.557	1557.8	-0.18885	346.82	0.67208	liquid
356	2								53890	1.86E-05	6.2415	6.2787	19.961	69.438	75.571	1557.5	-0.18829	342.61	0.67264	liquid
357	2								53855	1.86E-05	6.3171	6.3542	20.173	69.344	75.585	1557.1	-0.18774	338.48	0.6732	liquid
358	2								53819	1.86E-05	6.3927	6.4298	20.384	69.25	75.6	1556.8	-0.18718	334.44	0.67374	liquid
359	2								53783	1.86E-05	6.4682	6.5054	20.595	69.156	75.615	1556.4	-0.18662	330.49	0.67426	liquid
360	2								53747	1.86E-05	6.5438	6.5811	20.806	69.062	75.631	1555.9	-0.18606	326.62	0.67477	liquid
361	2								53710	1.86E-05	6.6195	6.6567	21.015	68.968	75.647	1555.5	-0.1855	322.82	0.67526	liquid
362	2								53674	1.86E-05	6.6951	6.7324	21.225	68.874	75.663	1555	-0.18494	319.1	0.67574	liquid
363	2								53637	1.86E-05	6.7707	6.808	21.433	68.781	75.679	1554.4	-0.18437	315.46	0.6762	liquid
364	2								53599	1.87E-05	6.8464	6.8837	21.642	68.687	75.696	1553.9	-0.18381	311.88	0.67665	liquid
365	2								53562	1.87E-05	6.9221	6.9594	21.849	68.593	75.714	1553.3	-0.18324	308.38	0.67708	liquid
366	2								53524	1.87E-05	6.9978	7.0351	22.057	68.499	75.731	1552.7	-0.18267	304.95	0.67751	liquid
367	2								53486	1.87E-05	7.0735	7.1109	22.263	68.406	75.749	1552	-0.18209	301.58	0.67791	liquid
368	2								53447	1.87E-05	7.1492	7.1866	22.469	68.312	75.767	1551.3	-0.18152	298.28	0.67831	liquid
369	2								53409	1.87E-05	7.225	7.2624	22.675	68.219	75.786	1550.6	-0.18094	295.04	0.67869	liquid
370	2								53370	1.87E-05	7.3007	7.3382	22.88	68.125	75.805	1549.8	-0.18036	291.87	0.67906	liquid
371	2								53331	1.88E-05	7.3765	7.414	23.085	68.032	75.825	1549	-0.17977	288.75	0.67941	liquid
372	2								53291	1.88E-05	7.4523	7.4899	23.289	67.939	75.845	1548.2	-0.17919	285.7	0.67975	liquid
373	2								53252	1.88E-05	7.5282	7.5657	23.493	67.846	75.865	1547.4	-0.1786	282.7	0.68008	liquid
